apple jablko
cat kot
dog pies
house dom
book ksiazka
car samochod
table stol
chair krzeslo
tree drzewo
ball pilka
sun slonce
moon ksiezyc
star gwiazda
water woda
fire ogien
air powietrze
earth ziemia
sky niebo
fish ryba
bird ptak
flower kwiat
grass trawa
river rzeka
ocean ocean
mountain gora
road droga
bridge most
door drzwi
window okno
key klucz
lock zamek
light swiatlo
dark ciemnosc
day dzien
night noc
morning poranek
evening wieczor
afternoon popoludnie
summer lato
winter zima
spring wiosna
autumn jesien
hot goracy
cold zimny
warm cieply
cool chlodny
happy szczesliwy
sad smutny
angry zly
excited podekscytowany
bored znudzony
tired zmeczony
sleepy senny
awake obudzony
hungry glodny
thirsty spragniony
full pelny
empty pusty
big duzy
small maly
tall wysoki
short krotki
long dlugi
fast szybki
slow wolny
loud glosny
quiet cichy
strong silny
weak slaby
good dobry
bad zly
nice miły
mean zlosliwy
beautiful piekny
ugly brzydki
clean czysty
dirty brudny
new nowy
old stary
fresh swiezy
rotten zgniły
right prawo
left lewo
up gora
down dol
inside wewnatrz
outside na zewnatrz
front przod
back tyl
here tutaj
there tam
now teraz
then potem
soon wkrótce
later później
always zawsze
never nigdy
sometimes czasami
often czesto
rarely rzadko
hard ciezko
easy latwo
near blisko
far daleko
next nastepny
last ostatni
first pierwszy
middle srodek
end koniec
beginning poczatek
start start
finish zakończenie
win wygrac
lose przegrac
gain zysk
loss strata
save zapisac
spend wydawac
buy kupowac
sell sprzedawac
eat jesc
drink pic
cook gotowac
bake piec
fry smazyc
boil gotowac
freeze zamrozic
melt topić
cut ciac
slice kroic
break łamac
fix naprawic
repair naprawiac
build budowac
destroy niszczyc
create tworzyc
make robic
craft rzemiosło
draw rysowac
paint malowac
write pisac
read czytac
learn uczyc sie
teach uczyc kogos
study uczyc sie
know wiedziec
understand rozumiec
think myslec
believe wierzyc
hope miec nadzieje
wish życzyć sobie
dream snic
imagine wyobrazac sobie
remember pamietac
forget zapomniec
repeat powtarzac
say powiedziec
speak mówić
talk rozmawiac
listen sluchac
hear słyszeć
watch ogladac
see widziec
look patrzec
touch dotykac
feel czuć
taste smakować
smell pachnac
sing śpiewać
dance tanczyc
jump skakac
run biegac
walk chodzic
stand stac
sit siedziec
lie lezec
fly latac
swim plywac
drive prowadzic
ride jezdzic
travel podrozowac
explore odkrywac
discover odkrywac
find znajdowac
lose gubic
hide ukrywac sie
seek szukac
search szukac
follow sledzic
lead prowadzic
guide prowadzic
show pokazywac
hide ukrywac
cover przykrywac
uncover odkrywac
wrap owijac
unwrap rozpakowac
pack pakowac
unpack rozpakowac
arrange ukladac
organize organizowac
mess balagan
clean posprzatac
tidy up posprzatac
sort sortowac
order zamowic
disorder dezorganizacja
mix mieszac
separate oddzielac
combine laczyc
divide dzielic
share dzielic sie
keep trzymac
give dawac
receive otrzymywac
send wysylac
receive otrzymywac
open otwierac
close zamykac
shut zamykac
lock zamykac na klucz
unlock otwierac
enter wchodzic
exit wychodzic
leave opuszczac
stay zostawac
go isc
come przyjsc
return wracac
depart odlatywac
arrive przybyc
visit odwiedzac
host goszczic
guest gosc
attend uczestniczyc
skip pomijac
miss tęsknic
meet spotykac
