jabłko apple
kot cat
pies dog
dom house
książka book
samochód car
stół table
krzesło chair
drzewo tree
piłka ball
słońce sun
księżyc moon
gwiazda star
woda water
ogień fire
powietrze air
ziemia earth
niebo sky
ryba fish
ptak bird
kwiat flower
trawa grass
rzeka river
ocean ocean
góra mountain
droga road
most bridge
drzwi door
okno window
klucz key
zamek lock
światło light
ciemność dark
dzień day
noc night
poranek morning
wieczór evening
popołudnie afternoon
lato summer
zima winter
wiosna spring
jesień autumn
gorący hot
zimny cold
ciepły warm
chłodny cool
szczęśliwy happy
smutny sad
zły angry
podekscytowany excited
znudzony bored
zmęczony tired
senny sleepy
obudzony awake
głodny hungry
spragniony thirsty
pełny full
pusty empty
duży big
mały small
wysoki tall
krótki short
długi long
krótki short
szybki fast
wolny slow
głośny loud
cichy quiet
silny strong
słaby weak
dobry good
zły bad
miły nice
złośliwy mean
piękny beautiful
brzydki ugly
czysty clean
brudny dirty
nowy new
stary old
świeży fresh
zgniły rotten
prawo right
lewo left
góra up
dół down
wewnątrz inside
na zewnątrz outside
przód front
tył back
tutaj here
tam there
teraz now
potem then
wkrótce soon
później later
zawsze always
nigdy never
czasami sometimes
często often
rzadko rarely
ciężko hard
łatwo easy
blisko near
daleko far
następny next
ostatni last
pierwszy first
środek middle
koniec end
początek beginning
start start
zakończenie finish
wygrać win
przegrać lose
zysk gain
strata loss
zapisać save
wydawać spend
kupować buy
sprzedawać sell
jeść eat
pić drink
gotować cook
piec bake
smażyć fry
gotować boil
zamrozić freeze
topić melt
ciąć cut
kroić slice
łamać break
naprawić fix
naprawiać repair
budować build
niszczyć destroy
tworzyć create
robić make
rzemiosło craft
rysować draw
malować paint
pisać write
czytać read
uczyć się learn
uczyć kogoś teach
uczyć się study
wiedzieć know
rozumieć understand
myśleć think
wierzyć believe
mieć nadzieję hope
życzyć sobie wish
śnić dream
wyobrażać sobie imagine
pamiętać remember
zapominać forget
powtarzać repeat
powiedzieć say
mówić speak
rozmawiać talk
słuchać listen
słyszeć hear
oglądać watch
widzieć see
patrzeć look
dotykać touch
czuć feel
smakować taste
pachnieć smell
śpiewać sing
tańczyć dance
skakać jump
biegać run
chodzić walk
stać stand
siedzieć sit
